NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,last review safra
Monthly discount - 2 bedroom upper east side,38335783575,verified,D,Manhattan,Upper East Side,40.77031,-73.95098,United States,US,False,strict,Entire home/apt,2014.0,605.0,121.0,30,2,2020-10-31,0,2.0,3.0,185,,2010
"Private Suite, Free Metrocard*",77855762275,unconfirmed,Christina,Queens,Flushing,40.75046,-73.80969,United States,US,False,moderate,Private room,2014.0,805.0,161.0,2,352,2020-10-31,3,2.0,2.0,137,,2010
Studio w/CV: Cleaning CDC guidelines implemented,92881530321,unconfirmed,Vida,Brooklyn,Greenpoint,40.7269,-73.94198,United States,US,True,strict,Entire home/apt,2015.0,265.0,53.0,30,8,2020-10-31,0,5.0,28.0,277,,2010
Spacious and sunny private room,51706249711,unconfirmed,Diego,Queens,Ridgewood,40.70835,-73.91158,United States,US,True,strict,Private room,2013.0,531.0,106.0,30,56,2020-10-31,0,3.0,3.0,264,,2010
Cozy apt convenient to everything!,18114417251,unconfirmed,Ruby,Manhattan,East Village,40.72556,-73.99036,United States,US,True,strict,Entire home/apt,2008.0,261.0,52.0,30,11,2020-10-31,0,5.0,1.0,173,,2010
Great studio near Times Square,30107375167,verified,Jeniffer,Manhattan,Hell's Kitchen,40.76372,-73.99318,United States,US,False,strict,Entire home/apt,2021.0,1075.0,215.0,30,6,2020-10-31,0,3.0,186.0,320,,2010
521 West 48-Studio near Time Square,17802273791,unconfirmed,Jeniffer,Manhattan,Hell's Kitchen,40.76411,-73.99371,United States,US,True,flexible,Entire home/apt,2013.0,191.0,38.0,30,8,2020-10-31,0,5.0,186.0,338,,2010
Huge 1 Bedroom Fully Furnished Gramercy Apt,67722876523,unconfirmed,Jason,Manhattan,Gramercy,40.73366,-73.9825,United States,US,False,moderate,Entire home/apt,2010.0,181.0,36.0,10,3,2020-10-31,0,4.0,1.0,0,,2010
lovely home on 38th street,39342768481,unconfirmed,Alon,Manhattan,Murray Hill,40.74798,-73.97413,United States,US,True,moderate,Entire home/apt,2009.0,593.0,119.0,30,7,2020-10-31,0,4.0,2.0,0,,2010
The Perfect Village - Jimi Hendrix Studio,43108927632,unconfirmed,Ian,Manhattan,Greenwich Village,40.73304,-73.99992,United States,US,False,flexible,Entire home/apt,2005.0,969.0,194.0,10,6,2020-10-31,0,3.0,1.0,0,,2010
Cozy and Modern Brooklyn Loft with amazing view!,6959633971,unconfirmed,Kyle,Brooklyn,Bushwick,40.70003,-73.9255,United States,US,False,flexible,Entire home/apt,2009.0,483.0,97.0,30,2,2020-10-31,0,4.0,1.0,0,,2010
