NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,last review safra
Clean & quiet apt home by the park,80014485718,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,False,strict,Private room,2020.0,966.0,193.0,10,9,2021-10-19,0,4.0,6.0,286,Clean up and treat the home the way you'd like your home to be treated.  No smoking.,2110
Creative Director's Chinatown Loft,74591413544,verified,Todd,Manhattan,Chinatown,40.71502,-73.9917,United States,US,True,flexible,Entire home/apt,2008.0,379.0,76.0,14,19,2021-10-31,0,5.0,1.0,213,,2110
"Convenient East Village Studio,",56004838653,verified,Leigh,Manhattan,East Village,40.72989,-73.97988,United States,US,True,moderate,Entire home/apt,2009.0,960.0,192.0,30,167,2021-10-31,1,2.0,1.0,45,,2110
Central Harlem Clean Furnished Room (Near Apollo),59435762062,verified,Anthony,Manhattan,Harlem,40.81213,-73.9538,United States,US,False,moderate,Private room,2013.0,1117.0,223.0,30,26,2021-10-31,0,3.0,1.0,101,,2110
Furnished 1 Bedroom in East Harlem,51552178229,unconfirmed,Jeremiah,Manhattan,East Harlem,40.79292,-73.93953,United States,US,True,moderate,Entire home/apt,2015.0,679.0,136.0,30,41,2021-10-31,0,3.0,1.0,8,,2110
Amazing Loft: Cleaning CDC guidelines implemented,26562001302,verified,Vida,Brooklyn,Greenpoint,40.72642,-73.9426,United States,US,False,moderate,Entire home/apt,2015.0,907.0,181.0,30,13,2021-10-31,0,4.0,28.0,277,,2110
1BR Loft: Cleaning CDC guidelines implemented,10989625276,unconfirmed,Vida,Brooklyn,Greenpoint,40.72718,-73.94193,United States,US,False,strict,Entire home/apt,2019.0,924.0,185.0,30,2,2021-10-31,0,4.0,28.0,308,,2110
"Great Room in Astoria,NYC",44308794991,verified,Rafael,Queens,Astoria,40.75677,-73.91624,United States,US,True,flexible,Private room,2003.0,775.0,155.0,4,8,2021-10-31,0,3.0,1.0,0,,2110
Beautifully Modern + Immaculate Chelsea Home!,78370993720,unconfirmed,Kaitlyn,Manhattan,Chelsea,40.74192,-74.00106,United States,US,True,moderate,Entire home/apt,2016.0,483.0,97.0,7,6,2021-10-31,0,2.0,1.0,252,,2110
Brand new Manhattan Apartment sleeps 7!,52605989233,verified,Rachel,Manhattan,Upper West Side,40.80372,-73.96908,United States,US,False,strict,Entire home/apt,2019.0,773.0,155.0,30,17,2021-10-31,0,5.0,4.0,130,,2110
1BR GARDEN APT 25 MIN TO MANHATTAN,25925291811,unconfirmed,Anna,Brooklyn,East Flatbush,40.64561,-73.94633,United States,US,False,strict,Entire home/apt,2013.0,139.0,28.0,30,45,2021-10-31,0,3.0,4.0,365,,2110
Home of Balance: 20 minutes to Midtown,46251179654,verified,Maria,Queens,Astoria,40.77051,-73.9204,United States,US,False,flexible,Entire home/apt,2005.0,860.0,172.0,30,6,2021-10-31,0,4.0,1.0,241,,2110
Private Room Near Prospect Park,36156270452,unconfirmed,Nichole,Brooklyn,Flatbush,40.65288,-73.95943,United States,US,False,flexible,Private room,2007.0,794.0,159.0,30,16,2021-10-31,0,2.0,8.0,291,,2110
Super cozy Chic - Brooklyn - Williamsburg,87044362663,verified,Medina,Brooklyn,Williamsburg,40.71232,-73.94949,United States,US,False,strict,Entire home/apt,2013.0,643.0,129.0,1,26,2021-10-31,0,2.0,1.0,360,,2110
Brooklyn's Finest,55001182774,unconfirmed,Maurice,Brooklyn,Crown Heights,40.67826,-73.95263,United States,US,False,flexible,Entire home/apt,2022.0,1080.0,216.0,30,92,2021-10-31,1,3.0,4.0,363,,2110
Cozy Apt in BEST LOCATION,67370734239,unconfirmed,Stay With Vibe,Manhattan,Hell's Kitchen,40.76532,-73.98997,United States,US,True,moderate,Entire home/apt,2022.0,485.0,97.0,30,14,2021-10-31,0,3.0,108.0,174,,2110
Spacious 1 b/r with skylights and W/D,8461801120,verified,Annette,Brooklyn,Gowanus,40.66793,-73.993,United States,US,False,flexible,Entire home/apt,2011.0,576.0,115.0,30,11,2021-10-31,0,4.0,2.0,51,,2110
Midtown 2 full bedrooms,24416648759,unconfirmed,Pierre,Manhattan,Hell's Kitchen,40.76092,-73.99159,United States,US,False,moderate,Entire home/apt,2018.0,610.0,122.0,30,121,2021-10-31,1,3.0,7.0,95,,2110
Luxurious 2 Bedroom with amazing finishes,70392068256,unconfirmed,Stay With Vibe,Manhattan,Kips Bay,40.74203,-73.98033,United States,US,False,moderate,Entire home/apt,2008.0,484.0,97.0,30,15,2021-10-31,0,2.0,108.0,309,,2110
Charming Upper East Side 1BR,3811175716,verified,George,Manhattan,Upper East Side,40.76918,-73.95329,United States,US,True,strict,Entire home/apt,2008.0,1174.0,235.0,5,29,2021-10-31,0,5.0,1.0,0,,2110
Nicely furnished room in a spacious apartment,29731535648,unconfirmed,Dilini,Brooklyn,Prospect-Lefferts Gardens,40.65703,-73.959,United States,US,False,flexible,Private room,2013.0,1128.0,226.0,30,7,2021-10-31,0,3.0,1.0,42,,2110
"Best Location - Modern 1 BR, very quiet",19308328666,verified,Stay With Vibe,Manhattan,Upper East Side,40.77126,-73.9629,United States,US,False,flexible,Entire home/apt,2010.0,655.0,131.0,30,13,2021-10-31,0,5.0,108.0,338,,2110
Conveniently located room near train.,12794483879,verified,K,Queens,Astoria,40.75758,-73.92856,United States,US,False,strict,Private room,2010.0,177.0,35.0,30,144,2021-10-31,2,3.0,2.0,88,,2110
Evita's Cottage on Beach 97th Street,41913937359,verified,Don & Evita,Queens,Rockaway Beach,40.58503,-73.8167,United States,US,True,strict,Entire home/apt,2022.0,872.0,174.0,2,85,2021-10-31,1,3.0,1.0,57,,2110
